Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,FL_22_DO,DV1,DV2,DV1_avg,DV2_avg,,,,
,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Prefer not to say,Strongly agree,Strongly agree,Strongly agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Somewhat,FL_24,3,3,High,High,,,,
0.5,Male,Black or African American,Bachelor’s degree,Liberal,Strongly agree,Strongly agree,Somewhat disagree,Canada,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Neither positive nor negative,Neither positive nor negative,Not at all,FL_24,4,2,High,Low,,,,
0.899999976,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Strongly agree,Strongly agree,Canada,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Extremely positive,Somewhat negative,Slightly,FL_23,5,2,High,Low,,,,
0.600000024,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Somewhat disagree,The United States,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Not at all,FL_23,4,2,High,Low,,,,
0.800000012,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Extremely positive,Somewhat positive,Extremely,FL_24,4,4,High,High,,,,
0.300000012,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Somewhat agree,Strongly agree,Canada,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat positive,Extremely negative,Somewhat,FL_24,5,1,High,Low,,,,
1,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Somewhat disagree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,Somewhat negative,Slightly,FL_24,3,3,High,High,,,,
,Female,White or Caucasian,High school diploma or GED,Conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither positive nor negative,Somewhat positive,Mostly,FL_23,3,4,Low,High,,,,
0.200000003,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Somewhat agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat positive,Somewhat negative,Somewhat,FL_23,3,3,High,High,,,,
0.800000012,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Somewhat agree,Somewhat agree,The United States,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat negative,Somewhat negative,Mostly,FL_24,2,4,Low,High,,,,
1,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Neither positive nor negative,Somewhat positive,Mostly,FL_23,3,4,Low,High,,,,
1,Male,White or Caucasian,Bachelor’s degree,Moderate,Strongly agree,Strongly agree,Neither agree nor disagree,The United States,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat positive,Slightly,FL_24,4,4,High,High,,,,
0.899999976,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Somewhat agree,Strongly agree,Somewhat agree,Canada,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Slightly,FL_23,4,2,High,Low,,,,
0.800000012,Female,White or Caucasian,Bachelor’s degree,Liberal,Strongly disagree,Strongly disagree,Somewhat agree,Canada,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat positive,Somewhat negative,Slightly,FL_24,4,2,High,Low,,,,
0.899999976,Male,White or Caucasian,Bachelor’s degree,Very liberal,Strongly agree,Strongly agree,Strongly agree,Canada,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Somewhat,FL_24,5,2,High,Low,,,,
1,Female,White or Caucasian,Bachelor’s degree,Conservative,Strongly agree,Strongly agree,Somewhat agree,The United States,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither positive nor negative,Somewhat positive,Extremely,FL_23,3,4,Low,High,,,,
0.899999976,Female,White or Caucasian,Bachelor’s degree,Moderate,Strongly agree,Strongly agree,Somewhat agree,Neither,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_24,4,2,High,Low,,,,
0.899999976,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,Strongly disagree,Strongly agree,Somewhat agree,The United States,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Extremely,FL_24,4,3,High,Low,,,,
0.899999976,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Strongly agree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,FL_23,5,2,High,Low,,,,
0.899999976,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,Somewhat agree,Strongly agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Somewhat,FL_24,4,3,High,High,,,,
1,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Somewhat disagree,The United States,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat negative,Neither positive nor negative,Somewhat,FL_23,2,4,Low,High,,,,
1,Male,Black or African American,Bachelor’s degree,Very liberal,Strongly disagree,Somewhat agree,Strongly disagree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Extremely negative,Not at all,FL_24,5,1,High,Low,,,,
1,Male,White or Caucasian,High school diploma or GED,Moderate,Strongly agree,Strongly agree,Somewhat agree,Canada,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Not at all,FL_24,4,2,High,Low,,,,
0.300000012,Male,Black or African American,High school diploma or GED,Conservative,Strongly agree,Strongly agree,Strongly agree,Canada,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_24,4,2,High,Low,,,,
0.899999976,Female,White or Caucasian,Bachelor’s degree,Moderate,Strongly agree,Strongly agree,Somewhat agree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,FL_23,5,2,High,Low,,,,
0.899999976,Male,White or Caucasian,Bachelor’s degree,Very conservative,Somewhat agree,Strongly agree,Strongly agree,The United States,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Extremely negative,Neither positive nor negative,Mostly,FL_24,1,4,Low,High,,,,
1,Female,White or Caucasian,"Some college, but no degree",Liberal,Somewhat agree,Strongly disagree,Strongly disagree,Canada,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat positive,Extremely negative,Not at all,FL_24,4,2,High,Low,,,,
0.5,Female,Black or African American,High school diploma or GED,Conservative,Strongly agree,Somewhat agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither positive nor negative,Somewhat negative,Mostly,FL_24,3,3,Low,High,,,,
0.699999988,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Strongly agree,Strongly agree,Strongly disagree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Not at all,FL_24,5,1,High,Low,,,,
0.899999976,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Somewhat agree,Somewhat disagree,Neither,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither positive nor negative,Somewhat negative,Not at all,FL_23,3,2,High,Low,,,,
0.899999976,Male,Black or African American,Bachelor’s degree,Moderate,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Neither positive nor negative,Somewhat,FL_24,3,3,High,Low,,,,
0.899999976,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Strongly agree,Somewhat disagree,The United States,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat negative,Somewhat positive,Extremely,FL_24,3,4,Low,High,,,,
0.800000012,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Extremely positive,Somewhat positive,Extremely,FL_24,3,4,Low,High,,,,
0.5,Female,White or Caucasian,High school diploma or GED,Moderate,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,The United States,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat positive,Neither positive nor negative,Slightly,FL_24,3,3,Low,High,,,,
0.600000024,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Somewhat agree,Somewhat disagree,Canada,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Not at all,FL_24,4,2,High,Low,,,,
0.600000024,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Neither positive nor negative,Somewhat positive,Mostly,FL_23,3,4,Low,High,,,,
1,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Somewhat agree,Somewhat disagree,Canada,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Neither positive nor negative,Not at all,FL_23,5,2,High,Low,,,,
0.899999976,Male,White or Caucasian,Bachelor’s degree,Conservative,Somewhat agree,Somewhat agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,Somewhat positive,Mostly,FL_23,3,4,High,High,,,,
1,Female,Black or African American,Associates or technical degree,Liberal,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Canada,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Extremely positive,Somewhat negative,Not at all,FL_23,5,1,High,Low,,,,
0.899999976,Female,White or Caucasian,"Some college, but no degree",Moderate,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Other (please specify),Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither positive nor negative,Neither positive nor negative,Not sure,FL_23,3,3,High,Low,,,,
0.300000012,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Somewhat agree,Somewhat disagree,Canada,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Not at all,FL_24,4,2,High,Low,,,,
0.600000024,Female,Black or African American,Bachelor’s degree,Liberal,Somewhat agree,Somewhat agree,Somewhat disagree,Canada,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Slightly,FL_23,4,2,High,Low,,,,
0.5,Female,Black or African American,Bachelor’s degree,Moderate,Somewhat agree,Strongly agree,Somewhat disagree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Neither positive nor negative,Somewhat,FL_23,3,3,High,High,,,,
,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Somewhat agree,Somewhat agree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_23,5,2,High,Low,,,,
,Female,Black or African American,Bachelor’s degree,Conservative,Strongly agree,Strongly agree,Neither agree nor disagree,The United States,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat positive,Neither positive nor negative,Somewhat,FL_23,4,3,High,High,,,,
1,Male,White or Caucasian,"Some college, but no degree",Liberal,Somewhat disagree,Somewhat disagree,Strongly disagree,Canada,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_24,5,1,High,Low,,,,
0.899999976,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Neither agree nor disagree,The United States,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat positive,Slightly,FL_23,3,3,High,High,,,,
0.400000006,Female,White or Caucasian,Bachelor’s degree,Very conservative,Somewhat agree,Strongly agree,Neither agree nor disagree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,Somewhat negative,Mostly,FL_24,3,3,High,High,,,,
0.899999976,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,Strongly agree,Strongly agree,Somewhat agree,Canada,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Not at all,FL_24,5,1,High,Low,,,,
0.100000001,Female,White or Caucasian,Bachelor’s degree,Very conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat negative,Somewhat positive,Extremely,FL_23,2,5,Low,High,,,,
0.899999976,Female,White or Caucasian,Bachelor’s degree,Conservative,Somewhat agree,Strongly agree,Strongly agree,Canada,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Not at all,FL_24,4,2,High,Low,,,,
0.899999976,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Strongly agree,Strongly agree,Strongly disagree,The United States,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither positive nor negative,Somewhat positive,Extremely,FL_24,3,4,High,High,,,,
1,Male,White or Caucasian,Bachelor’s degree,Very conservative,Strongly agree,Strongly agree,Somewhat agree,The United States,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat negative,Somewhat positive,Mostly,FL_24,2,5,Low,High,,,,
0.899999976,Female,White or Caucasian,Bachelor’s degree,Liberal,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Canada,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_24,5,1,High,Low,,,,
,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Somewhat agree,Strongly agree,Somewhat disagree,Neither,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Extremely positive,Somewhat negative,Slightly,FL_24,4,2,High,Low,,,,
1,Male,White or Caucasian,"Some college, but no degree",Very conservative,Strongly agree,Strongly agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither positive nor negative,Neither positive nor negative,Somewhat,FL_23,3,3,High,High,,,,
0.200000003,Female,White or Caucasian,High school diploma or GED,Conservative,Somewhat agree,Strongly agree,Somewhat agree,Neither,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Neither positive nor negative,Somewhat positive,Somewhat,FL_23,3,3,Low,High,,,,
1,Female,White or Caucasian,Bachelor’s degree,Moderate,Strongly agree,Strongly agree,Somewhat agree,Neither,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,Neither positive nor negative,Somewhat,FL_24,4,3,High,Low,,,,
1,Female,White or Caucasian,Bachelor’s degree,Very liberal,Somewhat agree,Strongly agree,Neither agree nor disagree,Canada,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Neither positive nor negative,Slightly,FL_23,4,2,High,Low,,,,
0.699999988,Female,White or Caucasian,High school diploma or GED,Conservative,Strongly agree,Somewhat agree,Strongly agree,Canada,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_24,4,2,High,Low,,,,
0.899999976,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The United States,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat negative,Neither positive nor negative,Somewhat,FL_23,3,3,Low,High,,,,
0.600000024,Male,Black or African American,Bachelor’s degree,Conservative,Strongly agree,Somewhat agree,Somewhat disagree,Canada,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Neither positive nor negative,Slightly,FL_24,4,2,High,Low,,,,
1,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat negative,Somewhat positive,Extremely,FL_23,2,4,Low,High,,,,
0.5,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Neither agree nor disagree,Somewhat agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Slightly,FL_24,3,3,High,High,,,,
,Male,White or Caucasian,Bachelor’s degree,Conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat negative,Somewhat positive,Mostly,FL_23,2,4,Low,High,,,,
,Female,Black or African American,Bachelor’s degree,Very conservative,Neither agree nor disagree,Strongly agree,Strongly agree,Canada,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Not at all,FL_24,4,2,High,Low,,,,
0.899999976,Female,White or Caucasian,Bachelor’s degree,Very liberal,Strongly agree,Strongly agree,Somewhat disagree,Canada,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Not at all,FL_24,4,2,High,Low,,,,
0.899999976,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Strongly agree,Somewhat agree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat negative,Somewhat negative,Not at all,FL_24,4,2,High,Low,,,,
0.899999976,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,Strongly agree,Strongly agree,Strongly agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat positive,Somewhat,FL_23,3,3,High,High,,,,
1,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Strongly agree,Neither agree nor disagree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_23,5,1,High,Low,,,,
0.800000012,Female,Black or African American,"Some college, but no degree",Very liberal,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat positive,Extremely,FL_23,4,3,High,High,,,,
0.899999976,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly disagree,Strongly disagree,Neither agree nor disagree,The United States,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat positive,Neither positive nor negative,Somewhat,FL_24,3,3,High,High,,,,
1,Female,White or Caucasian,Bachelor’s degree,Conservative,Somewhat agree,Strongly agree,Neither agree nor disagree,Canada,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat positive,Neither positive nor negative,Slightly,FL_23,4,2,High,Low,,,,
0.400000006,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly disagree,Strongly disagree,Neither agree nor disagree,Canada,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Somewhat,FL_23,4,2,High,Low,,,,
0.5,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly disagree,Strongly disagree,Neither agree nor disagree,The United States,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither positive nor negative,Neither positive nor negative,Somewhat,FL_24,3,3,High,High,,,,
0.899999976,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Strongly disagree,The United States,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat positive,Extremely,FL_24,4,4,High,High,,,,
,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Somewhat agree,Canada,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat positive,Somewhat negative,Not at all,FL_24,4,2,High,Low,,,,
0.899999976,Female,White or Caucasian,Bachelor’s degree,Very conservative,Strongly agree,Strongly agree,Somewhat agree,Canada,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Neither positive nor negative,Not at all,FL_24,4,2,High,Low,,,,
0.899999976,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Neither agree nor disagree,The United States,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat positive,Extremely,FL_24,4,4,High,High,,,,
0.899999976,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat negative,Somewhat positive,Mostly,FL_23,2,5,Low,High,,,,
1,Male,Black or African American,Bachelor’s degree,Conservative,Somewhat agree,Strongly agree,Somewhat disagree,Canada,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,FL_24,5,2,High,Low,,,,
,Female,White or Caucasian,Bachelor’s degree,Conservative,Somewhat agree,Somewhat agree,Strongly agree,The United States,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither positive nor negative,Somewhat positive,Mostly,FL_23,3,4,Low,High,,,,
0.699999988,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Strongly agree,Canada,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Extremely positive,Neither positive nor negative,Not at all,FL_24,4,2,High,Low,,,,
1,Male,White or Caucasian,Bachelor’s degree,Conservative,Somewhat agree,Somewhat agree,Strongly disagree,The United States,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither positive nor negative,Somewhat negative,Slightly,FL_23,3,3,High,High,,,,
0.800000012,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat negative,Somewhat positive,Mostly,FL_24,2,5,Low,High,,,,
0.5,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Somewhat agree,Somewhat agree,Somewhat disagree,Canada,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,FL_24,4,2,High,Low,,,,
0.899999976,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Somewhat agree,Strongly agree,The United States,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,FL_23,4,3,High,High,,,,
0.5,Female,Black or African American,Bachelor’s degree,Conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat positive,Extremely,FL_24,3,4,High,High,,,,
1,Male,White or Caucasian,Bachelor’s degree,Conservative,Strongly agree,Neither agree nor disagree,Somewhat agree,Canada,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,FL_24,5,2,High,Low,,,,
1,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Strongly agree,Strongly agree,Somewhat disagree,The United States,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Neither positive nor negative,Somewhat,FL_23,2,4,Low,High,,,,
1,Female,Black or African American,High school diploma or GED,Liberal,Strongly agree,Strongly agree,Somewhat agree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_24,5,2,High,Low,,,,
0.699999988,Female,Black or African American,Bachelor’s degree,Conservative,Strongly agree,Strongly agree,Strongly agree,Canada,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,FL_23,4,2,High,Low,,,,
0.899999976,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Strongly disagree,Canada,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Extremely negative,Not at all,FL_24,4,2,High,Low,,,,
0.899999976,Male,Other,Bachelor’s degree,Liberal,Somewhat agree,Somewhat agree,Somewhat disagree,Canada,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat positive,Neither positive nor negative,Slightly,FL_23,4,3,High,Low,,,,
0.899999976,Male,White or Caucasian,Associates or technical degree,Conservative,Strongly agree,Somewhat agree,Strongly disagree,The United States,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither positive nor negative,Somewhat positive,Mostly,FL_24,3,4,Low,High,,,,
0.899999976,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Extremely negative,Somewhat positive,Extremely,FL_24,1,5,Low,High,,,,
