Q1 How do you describe yourself,Q2 Choose one or more races that you consider yourself to be,Q3 What is the highest level of education you have completed?,Q4 My political preferences lean...,Q5 I take pride in the U.S. Constitution and feel that its core values align with my personal beliefs.,Q6 I would rather be a citizen of America than any other country.,Q7 It would be disrespectful for myself or another American to criticize U.S. policies.,"Q8 At this moment, which government do you feel most morally aligned with?",Q9 Indicate your level of agreement: I felt the need to defend and support the U.S. after reading the Prime Minister's remarks.,"Q10 The Prime Minister's remarks reflect my own concerns and I felt understood, even if I felt the need to defend the U.S.",Q11 I believe the Prime Minister�s message was sincere.,Q12 I support the Prime Minister's right to comment on this issue.,"Q13 After reading this article, my view on the Canadian Prime Minister is...","Q14 After reading this article, my view of the U.S. government is...","Q15 Based on the article you read, how much do you support the U.S. government's data policy?",Treatment,Nationalism,Message_Efficacy,Defensive_Alignment,Q15,Nationalism,,,,,,,,,Moral Alignment,,,Defensive Nationalism,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Neither agree nor disagree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,Indirect,0.5,1.00,-1.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Strongly agree,Somewhat agree,Somewhat disagree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,Direct,0.75,1.00,-1.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Asian,Bachelor’s degree,Liberal,Somewhat agree,Somewhat agree,Somewhat disagree,The United States,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat positive,Mostly,Direct,0.75,-0.67,0.67,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Strongly agree,Strongly agree,The United States,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Extremely negative,Somewhat negative,Somewhat,Indirect,0.75,0.33,-0.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,Somewhat positive,Mostly,Direct,0.75,-1.00,1.00,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Somewhat agree,Strongly agree,Neither agree nor disagree,Canada,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,Indirect,0.5,1.00,-1.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Black or African American,Bachelor’s degree,Liberal,Strongly agree,Somewhat agree,Strongly agree,The United States,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat positive,Neither positive nor negative,Mostly,Indirect,0.75,-0.67,0.67,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Somewhat agree,Somewhat disagree,Canada,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat positive,Somewhat negative,Slightly,Direct,0.75,0.33,-0.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Black or African American,Bachelor’s degree,Liberal,Somewhat agree,Somewhat agree,Somewhat disagree,The United States,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither positive nor negative,Somewhat negative,Somewhat,Direct,0.75,-0.33,0.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,High school diploma or GED,Conservative,Somewhat disagree,Somewhat agree,Strongly disagree,The United States,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither positive nor negative,Neither positive nor negative,Somewhat,Indirect,0.75,-0.67,0.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Slightly,Direct,0.75,0.33,-0.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,Strongly agree,Strongly agree,Strongly agree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Extremely negative,Not at all,Direct,0.75,1.00,-1.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Somewhat agree,Somewhat agree,Somewhat agree,Canada,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,Direct,0.75,0.33,-0.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Some college, but no degree",Moderate,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,The United States,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Somewhat,Indirect,0.25,0.00,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Somewhat disagree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Not at all,Direct,0.75,-0.33,0.33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Strongly disagree,Strongly disagree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Extremely negative,Not at all,Direct,0.75,1.00,-1.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Strongly disagree,The United States,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Extremely negative,Somewhat positive,Mostly,Direct,0.75,-1.00,1.00,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat negative,Somewhat negative,Extremely,Direct,0.75,-0.33,0.33,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Strongly agree,Neither agree nor disagree,Somewhat disagree,Neither,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Neither positive nor negative,Somewhat negative,Not at all,Direct,0.5,0.33,-0.33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Somewhat agree,Somewhat agree,Somewhat agree,Canada,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Slightly,Indirect,0.75,1.00,-1.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Some college, but no degree",Conservative,Strongly agree,Strongly agree,Somewhat agree,The United States,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither positive nor negative,Somewhat positive,Extremely,Indirect,0.75,-1.00,1.00,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,Strongly agree,Strongly agree,Somewhat disagree,Canada,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither positive nor negative,Somewhat negative,Slightly,Indirect,0.75,0.33,-0.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,Bachelor’s degree,Conservative,Strongly disagree,Strongly agree,Strongly agree,The United States,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat negative,Somewhat positive,Extremely,Direct,0.75,-1.00,1.00,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Other,High school diploma or GED,Conservative,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Canada,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,Indirect,0.5,1.00,-1.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,Bachelor’s degree,Conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Extremely positive,Neither positive nor negative,Somewhat,Indirect,0.75,-0.67,0.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Somewhat agree,The United States,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Extremely negative,Somewhat positive,Extremely,Direct,0.75,-1.00,1.00,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,American Indian/Native American or Alaska Native,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Neither agree nor disagree,Somewhat agree,Canada,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Neither positive nor negative,Somewhat negative,Not at all,Direct,0.5,0.67,-0.67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,Somewhat agree,Strongly agree,Strongly agree,The United States,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat positive,Extremely,Direct,0.75,-1.00,1.00,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,"White or Caucasian,Other",Bachelor’s degree,Moderate,Strongly agree,Strongly agree,Neither agree nor disagree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,Direct,0.5,1.00,-1.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Strongly disagree,The United States,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat negative,Somewhat positive,Mostly,Indirect,0.75,-1.00,1.00,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White or Caucasian,Bachelor’s degree,Liberal,Strongly agree,Strongly agree,Somewhat disagree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,Indirect,0.75,1.00,-1.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Somewhat agree,The United States,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat positive,Neither positive nor negative,Mostly,Indirect,0.75,-0.33,0.33,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Black or African American,Bachelor’s degree,Moderate,Somewhat disagree,Somewhat agree,Neither agree nor disagree,The United States,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat negative,Somewhat negative,Somewhat,Indirect,0.5,-0.33,0.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Strongly agree,Strongly agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat positive,Somewhat,Direct,0.75,-1.00,1.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,Bachelor’s degree,Conservative,Somewhat agree,Strongly agree,Somewhat disagree,The United States,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat negative,Neither positive nor negative,Mostly,Indirect,0.75,-0.67,0.67,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White or Caucasian,Bachelor’s degree,Very conservative,Somewhat agree,Strongly agree,Strongly agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat positive,Mostly,Indirect,0.75,-1.00,1.00,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,Bachelor’s degree,Conservative,Neither agree nor disagree,Strongly agree,Somewhat agree,Canada,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Not at all,Direct,0.5,0.67,-0.67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither positive nor negative,Somewhat positive,Extremely,Direct,0.75,-1.00,1.00,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat positive,Neither positive nor negative,Somewhat,Direct,0.75,-0.67,0.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Asian,Bachelor’s degree,Moderate,Somewhat agree,Strongly agree,Neither agree nor disagree,The United States,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither positive nor negative,Neither positive nor negative,Not at all,Indirect,0.5,-0.67,0.67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Strongly agree,Strongly agree,Somewhat disagree,Canada,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Slightly,Indirect,0.75,0.33,-0.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Somewhat agree,The United States,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat positive,Somewhat negative,Not at all,Indirect,0.75,-0.33,0.33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Somewhat disagree,The United States,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat positive,Slightly,Indirect,0.75,-1.00,1.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat negative,Somewhat positive,Somewhat,Indirect,0.75,-1.00,1.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Black or African American,Bachelor’s degree,Liberal,Strongly agree,Somewhat agree,Somewhat disagree,Canada,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat positive,Not sure,Direct,0.75,0.33,-0.33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Somewhat agree,Strongly disagree,Canada,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,Indirect,0.75,1.00,-1.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Strongly agree,Strongly agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither positive nor negative,Somewhat negative,Slightly,Direct,0.75,-0.33,0.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Black or African American,Bachelor’s degree,Liberal,Strongly agree,Strongly agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat positive,Mostly,Indirect,0.75,-1.00,1.00,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Strongly agree,Strongly agree,Somewhat disagree,Canada,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat positive,Neither positive nor negative,Not at all,Indirect,0.75,0.67,-0.67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Asian,Bachelor’s degree,Moderate,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Canada,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat positive,Somewhat negative,Slightly,Indirect,0.5,0.67,-0.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Strongly agree,Strongly agree,Strongly agree,The United States,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Neither positive nor negative,Somewhat,Direct,0.75,-0.67,0.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Prefer not to say,Strongly agree,Strongly agree,Strongly agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Somewhat,Direct,0.75,-0.33,0.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Black or African American,Bachelor’s degree,Liberal,Strongly agree,Strongly agree,Somewhat disagree,Canada,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Neither positive nor negative,Neither positive nor negative,Not at all,Direct,0.75,0.67,-0.67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Strongly agree,Strongly agree,Canada,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Extremely positive,Somewhat negative,Slightly,Indirect,0.75,1.00,-1.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Somewhat disagree,The United States,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Not at all,Indirect,0.75,0.33,-0.33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Extremely positive,Somewhat positive,Extremely,Direct,0.75,-1.00,1.00,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Somewhat agree,Strongly agree,Canada,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat positive,Extremely negative,Somewhat,Direct,0.75,1.00,-1.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Somewhat disagree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,Somewhat negative,Slightly,Direct,0.75,-0.33,0.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,High school diploma or GED,Conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither positive nor negative,Somewhat positive,Mostly,Indirect,0.75,-1.00,1.00,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Somewhat agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat positive,Somewhat negative,Somewhat,Indirect,0.75,-0.33,0.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Somewhat agree,Somewhat agree,The United States,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat negative,Somewhat negative,Mostly,Direct,0.75,-0.33,0.33,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Neither positive nor negative,Somewhat positive,Mostly,Indirect,0.75,-1.00,1.00,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White or Caucasian,Bachelor’s degree,Moderate,Strongly agree,Strongly agree,Neither agree nor disagree,The United States,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat positive,Slightly,Direct,0.5,-1.00,1.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Somewhat agree,Strongly agree,Somewhat agree,Canada,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Slightly,Indirect,0.75,1.00,-1.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,Bachelor’s degree,Liberal,Strongly disagree,Strongly disagree,Somewhat agree,Canada,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat positive,Somewhat negative,Slightly,Direct,0.75,1.00,-1.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White or Caucasian,Bachelor’s degree,Very liberal,Strongly agree,Strongly agree,Strongly agree,Canada,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Somewhat,Direct,0.75,1.00,-1.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,Bachelor’s degree,Conservative,Strongly agree,Strongly agree,Somewhat agree,The United States,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither positive nor negative,Somewhat positive,Extremely,Indirect,0.75,-1.00,1.00,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,Bachelor’s degree,Moderate,Strongly agree,Strongly agree,Somewhat agree,Neither,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,Direct,0.75,0.67,-0.67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,Strongly disagree,Strongly agree,Somewhat agree,The United States,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Extremely,Direct,0.75,0.33,-0.33,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Strongly agree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,Indirect,0.75,1.00,-1.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,Somewhat agree,Strongly agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Somewhat,Direct,0.75,-0.33,0.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Somewhat disagree,The United States,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat negative,Neither positive nor negative,Somewhat,Indirect,0.75,-0.67,0.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Black or African American,Bachelor’s degree,Very liberal,Strongly disagree,Somewhat agree,Strongly disagree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Extremely negative,Not at all,Direct,0.75,1.00,-1.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White or Caucasian,High school diploma or GED,Moderate,Strongly agree,Strongly agree,Somewhat agree,Canada,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Not at all,Direct,0.75,1.00,-1.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Black or African American,High school diploma or GED,Conservative,Strongly agree,Strongly agree,Strongly agree,Canada,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,Direct,0.75,1.00,-1.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White or Caucasian,Bachelor’s degree,Moderate,Strongly agree,Strongly agree,Somewhat agree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,Indirect,0.75,1.00,-1.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White or Caucasian,Bachelor’s degree,Very conservative,Somewhat agree,Strongly agree,Strongly agree,The United States,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Extremely negative,Neither positive nor negative,Mostly,Direct,0.75,-0.67,0.67,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
